selectivity,complexity,query,method,latency_ms,rows,error
0.05,3,q1_customer_orders,oblivious_forced,0.2313,0,
0.05,3,q1_customer_orders,pcqv_no_order,0.0474,0,
0.05,3,q1_customer_orders,pcqv_no_stats,0.0464,0,
0.05,3,q1_customer_orders,pcqv_greedy,0.2246,0,
0.05,3,q1_customer_orders,pcqv_forced,0.2363,0,
0.05,3,q1_customer_orders,pcqv,0.0835,0,
0.05,3,q1_customer_orders,oracle_order,0.0434,0,
0.05,3,q2_revenue_by_product,oblivious_forced,0.6908,2,
0.05,3,q2_revenue_by_product,pcqv_no_order,0.0983,2,
0.05,3,q2_revenue_by_product,pcqv_no_stats,0.0781,2,
0.05,3,q2_revenue_by_product,pcqv_greedy,0.0702,2,
0.05,3,q2_revenue_by_product,pcqv_forced,0.0946,2,
0.05,3,q2_revenue_by_product,pcqv,0.0787,2,
0.05,3,q2_revenue_by_product,oracle_order,0.0867,2,
0.05,3,q3_support_tickets,oblivious_forced,0.0568,0,
0.05,3,q3_support_tickets,pcqv_no_order,0.0514,0,
0.05,3,q3_support_tickets,pcqv_no_stats,0.0507,0,
0.05,3,q3_support_tickets,pcqv_greedy,0.0411,0,
0.05,3,q3_support_tickets,pcqv_forced,0.0279,0,
0.05,3,q3_support_tickets,pcqv,0.0636,0,
0.05,3,q3_support_tickets,oracle_order,0.03,0,
0.05,3,q4_revenue_by_region,oblivious_forced,0.2614,0,
0.05,3,q4_revenue_by_region,pcqv_no_order,0.0853,0,
0.05,3,q4_revenue_by_region,pcqv_no_stats,0.0559,0,
0.05,3,q4_revenue_by_region,pcqv_greedy,0.0939,0,
0.05,3,q4_revenue_by_region,pcqv_forced,0.0749,0,
0.05,3,q4_revenue_by_region,pcqv,0.0533,0,
0.05,3,q4_revenue_by_region,oracle_order,0.0499,0,
0.05,3,q5_high_value_segments,oblivious_forced,1.4689,0,
0.05,3,q5_high_value_segments,pcqv_no_order,0.0657,0,
0.05,3,q5_high_value_segments,pcqv_no_stats,0.0529,0,
0.05,3,q5_high_value_segments,pcqv_greedy,0.0561,0,
0.05,3,q5_high_value_segments,pcqv_forced,0.0499,0,
0.05,3,q5_high_value_segments,pcqv,0.0457,0,
0.05,3,q5_high_value_segments,oracle_order,0.1518,0,
0.05,3,q6_lineitem_product_count,oblivious_forced,0.4191,0,
0.05,3,q6_lineitem_product_count,pcqv_no_order,0.0793,0,
0.05,3,q6_lineitem_product_count,pcqv_no_stats,0.0957,0,
0.05,3,q6_lineitem_product_count,pcqv_greedy,0.2617,0,
0.05,3,q6_lineitem_product_count,pcqv_forced,0.1838,0,
0.05,3,q6_lineitem_product_count,pcqv,0.176,0,
0.05,3,q6_lineitem_product_count,oracle_order,0.0554,0,
0.05,3,q7_customer_summary,oblivious_forced,0.111,0,
0.05,3,q7_customer_summary,pcqv_no_order,0.0293,0,
0.05,3,q7_customer_summary,pcqv_no_stats,0.0715,0,
0.05,3,q7_customer_summary,pcqv_greedy,0.0275,0,
0.05,3,q7_customer_summary,pcqv_forced,0.0794,0,
0.05,3,q7_customer_summary,pcqv,0.0571,0,
0.05,3,q7_customer_summary,oracle_order,0.0542,0,
0.05,3,q8_sensitive_product_scan,oblivious_forced,0.3298,4,
0.05,3,q8_sensitive_product_scan,pcqv_no_order,0.1047,4,
0.05,3,q8_sensitive_product_scan,pcqv_no_stats,0.1576,4,
0.05,3,q8_sensitive_product_scan,pcqv_greedy,0.1147,4,
0.05,3,q8_sensitive_product_scan,pcqv_forced,0.106,4,
0.05,3,q8_sensitive_product_scan,pcqv,0.1143,4,
0.05,3,q8_sensitive_product_scan,oracle_order,0.0964,4,
0.05,3,q9_ticket_topic_segments,oblivious_forced,0.1013,2,
0.05,3,q9_ticket_topic_segments,pcqv_no_order,0.0549,2,
0.05,3,q9_ticket_topic_segments,pcqv_no_stats,0.0652,2,
0.05,3,q9_ticket_topic_segments,pcqv_greedy,0.0509,2,
0.05,3,q9_ticket_topic_segments,pcqv_forced,0.0518,2,
0.05,3,q9_ticket_topic_segments,pcqv,0.0702,2,
0.05,3,q9_ticket_topic_segments,oracle_order,0.0525,2,
0.05,3,q10_acl_customer_rows,oblivious_forced,0.2512,1,
0.05,3,q10_acl_customer_rows,pcqv_no_order,0.0398,1,
