selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.025,1,q1_customer_orders,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q1_customer_orders,o,orders,28.75,49,1.7043,1150.0,1809,1.573
0.025,1,q1_customer_orders,c,customers,12.0,18,1.5,480.0,504,1.05
0.025,1,q2_revenue_by_product,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q2_revenue_by_product,p,products,2.25,2,1.125,90.0,97,1.0778
0.025,1,q2_revenue_by_product,o,orders,82.5,76,1.0855,3300.0,3322,1.0067
0.025,1,q3_support_tickets,t,tickets,20.0,16,1.25,800.0,787,1.0165
0.025,1,q3_support_tickets,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q4_revenue_by_region,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q4_revenue_by_region,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q4_revenue_by_region,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q5_high_value_segments,o,orders,87.5,78,1.1218,3500.0,3498,1.0006
0.025,1,q5_high_value_segments,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q6_lineitem_product_count,l,lineitem,240.0,236,1.0169,9600.0,9586,1.0015
0.025,1,q6_lineitem_product_count,p,products,6.675,9,1.3483,267.0,267,1.0
0.025,1,q6_lineitem_product_count,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q6_lineitem_product_count,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q7_customer_summary,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q7_customer_summary,c,customers,4.8,6,1.25,192.0,207,1.0781
0.025,1,q8_sensitive_product_scan,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q8_sensitive_product_scan,p,products,6.15,11,1.7886,246.0,283,1.1504
0.025,1,q9_ticket_topic_segments,t,tickets,56.875,51,1.1152,2275.0,2288,1.0057
0.025,1,q9_ticket_topic_segments,c,customers,25.8,38,1.4729,1032.0,1168,1.1318
0.025,1,q10_acl_customer_rows,c,customers,22.2,16,1.3875,888.0,548,1.6204
0.025,1,q11_order_ticket_bridge,o,orders,38.75,64,1.6516,1550.0,2515,1.6226
0.025,1,q11_order_ticket_bridge,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q11_order_ticket_bridge,t,tickets,37.5,30,1.25,1500.0,1468,1.0218
0.025,1,q12_product_segment_revenue,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q12_product_segment_revenue,c,customers,18.0,25,1.3889,720.0,729,1.0125
0.025,1,q12_product_segment_revenue,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q12_product_segment_revenue,p,products,6.9,9,1.3043,276.0,281,1.0181
0.025,1,q13_order_lineitem_rows,o,orders,70.0,66,1.0606,2800.0,2781,1.0068
0.025,1,q13_order_lineitem_rows,l,lineitem,213.0,236,1.108,8520.0,9745,1.1438
0.025,1,q14_support_owner_rows,t,tickets,50.0,46,1.087,2000.0,1993,1.0035
0.025,1,q14_support_owner_rows,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q15_clearance_product_rows,p,products,2.55,4,1.5686,102.0,102,1.0
0.025,1,q15_clearance_product_rows,l,lineitem,240.0,224,1.0714,9600.0,9562,1.004
0.025,1,q16_region_product_mix,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q16_region_product_mix,o,orders,93.75,92,1.019,3750.0,3824,1.0197
0.025,1,q16_region_product_mix,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
