selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.05,1,q1_customer_orders,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q1_customer_orders,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q2_revenue_by_product,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,16,20,,
0.05,1,q3_support_tickets,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q3_support_tickets,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
