level,query,method,equivalent,symmetric_difference,error
1,j1_cast_company_keyword,view_barrier,1,0,
1,j1_cast_company_keyword,predicate_injection,1,0,
1,j1_cast_company_keyword,oblivious_forced,1,0,
1,j1_cast_company_keyword,pcqv_job,1,0,
1,j2_actor_region_recent,view_barrier,1,0,
1,j2_actor_region_recent,predicate_injection,1,0,
1,j2_actor_region_recent,oblivious_forced,1,0,
1,j2_actor_region_recent,pcqv_job,1,0,
1,j3_title_company_rows,view_barrier,1,0,
1,j3_title_company_rows,predicate_injection,1,0,
1,j3_title_company_rows,oblivious_forced,1,0,
1,j3_title_company_rows,pcqv_job,1,0,
1,j4_keyword_person_company,view_barrier,1,0,
1,j4_keyword_person_company,predicate_injection,1,0,
1,j4_keyword_person_company,oblivious_forced,1,0,
1,j4_keyword_person_company,pcqv_job,1,0,
1,j5_sparse_acl_rows,view_barrier,1,0,
1,j5_sparse_acl_rows,predicate_injection,1,0,
1,j5_sparse_acl_rows,oblivious_forced,1,0,
1,j5_sparse_acl_rows,pcqv_job,1,0,
1,j6_info_keyword_guard,view_barrier,1,0,
1,j6_info_keyword_guard,predicate_injection,1,0,
1,j6_info_keyword_guard,oblivious_forced,1,0,
1,j6_info_keyword_guard,pcqv_job,1,0,
2,j1_cast_company_keyword,view_barrier,1,0,
2,j1_cast_company_keyword,predicate_injection,1,0,
2,j1_cast_company_keyword,oblivious_forced,1,0,
2,j1_cast_company_keyword,pcqv_job,1,0,
2,j2_actor_region_recent,view_barrier,1,0,
2,j2_actor_region_recent,predicate_injection,1,0,
2,j2_actor_region_recent,oblivious_forced,1,0,
2,j2_actor_region_recent,pcqv_job,1,0,
2,j3_title_company_rows,view_barrier,1,0,
2,j3_title_company_rows,predicate_injection,1,0,
2,j3_title_company_rows,oblivious_forced,1,0,
2,j3_title_company_rows,pcqv_job,1,0,
2,j4_keyword_person_company,view_barrier,1,0,
2,j4_keyword_person_company,predicate_injection,1,0,
2,j4_keyword_person_company,oblivious_forced,1,0,
2,j4_keyword_person_company,pcqv_job,1,0,
2,j5_sparse_acl_rows,view_barrier,1,0,
2,j5_sparse_acl_rows,predicate_injection,1,0,
2,j5_sparse_acl_rows,oblivious_forced,1,0,
2,j5_sparse_acl_rows,pcqv_job,1,0,
2,j6_info_keyword_guard,view_barrier,1,0,
2,j6_info_keyword_guard,predicate_injection,1,0,
2,j6_info_keyword_guard,oblivious_forced,1,0,
2,j6_info_keyword_guard,pcqv_job,1,0,
3,j1_cast_company_keyword,view_barrier,1,0,
3,j1_cast_company_keyword,predicate_injection,1,0,
3,j1_cast_company_keyword,oblivious_forced,1,0,
3,j1_cast_company_keyword,pcqv_job,1,0,
3,j2_actor_region_recent,view_barrier,1,0,
3,j2_actor_region_recent,predicate_injection,1,0,
3,j2_actor_region_recent,oblivious_forced,1,0,
3,j2_actor_region_recent,pcqv_job,1,0,
3,j3_title_company_rows,view_barrier,1,0,
3,j3_title_company_rows,predicate_injection,1,0,
3,j3_title_company_rows,oblivious_forced,1,0,
3,j3_title_company_rows,pcqv_job,1,0,
3,j4_keyword_person_company,view_barrier,1,0,
3,j4_keyword_person_company,predicate_injection,1,0,
3,j4_keyword_person_company,oblivious_forced,1,0,
3,j4_keyword_person_company,pcqv_job,1,0,
3,j5_sparse_acl_rows,view_barrier,1,0,
3,j5_sparse_acl_rows,predicate_injection,1,0,
3,j5_sparse_acl_rows,oblivious_forced,1,0,
3,j5_sparse_acl_rows,pcqv_job,1,0,
3,j6_info_keyword_guard,view_barrier,1,0,
3,j6_info_keyword_guard,predicate_injection,1,0,
3,j6_info_keyword_guard,oblivious_forced,1,0,
3,j6_info_keyword_guard,pcqv_job,1,0,
4,j1_cast_company_keyword,view_barrier,1,0,
4,j1_cast_company_keyword,predicate_injection,1,0,
4,j1_cast_company_keyword,oblivious_forced,1,0,
4,j1_cast_company_keyword,pcqv_job,1,0,
4,j2_actor_region_recent,view_barrier,1,0,
4,j2_actor_region_recent,predicate_injection,1,0,
4,j2_actor_region_recent,oblivious_forced,1,0,
4,j2_actor_region_recent,pcqv_job,1,0,
4,j3_title_company_rows,view_barrier,1,0,
4,j3_title_company_rows,predicate_injection,1,0,
4,j3_title_company_rows,oblivious_forced,1,0,
4,j3_title_company_rows,pcqv_job,1,0,
4,j4_keyword_person_company,view_barrier,1,0,
4,j4_keyword_person_company,predicate_injection,1,0,
4,j4_keyword_person_company,oblivious_forced,1,0,
4,j4_keyword_person_company,pcqv_job,1,0,
4,j5_sparse_acl_rows,view_barrier,1,0,
4,j5_sparse_acl_rows,predicate_injection,1,0,
4,j5_sparse_acl_rows,oblivious_forced,1,0,
4,j5_sparse_acl_rows,pcqv_job,1,0,
4,j6_info_keyword_guard,view_barrier,1,0,
4,j6_info_keyword_guard,predicate_injection,1,0,
4,j6_info_keyword_guard,oblivious_forced,1,0,
4,j6_info_keyword_guard,pcqv_job,1,0,
