level,query,method,latency_ms,rows,error
1,j1_cast_company_keyword,view_barrier,5.5955,18,
1,j1_cast_company_keyword,predicate_injection,0.85,18,
1,j1_cast_company_keyword,oblivious_forced,1.8921,18,
1,j1_cast_company_keyword,pcqv_job,0.7313,18,
1,j2_actor_region_recent,view_barrier,5.3628,5,
1,j2_actor_region_recent,predicate_injection,1.3773,5,
1,j2_actor_region_recent,oblivious_forced,2.0567,5,
1,j2_actor_region_recent,pcqv_job,1.9315,5,
1,j3_title_company_rows,view_barrier,1.2715,50,
1,j3_title_company_rows,predicate_injection,0.638,50,
1,j3_title_company_rows,oblivious_forced,0.6251,50,
1,j3_title_company_rows,pcqv_job,0.6378,50,
1,j4_keyword_person_company,view_barrier,9.4397,29,
1,j4_keyword_person_company,predicate_injection,1.4423,29,
1,j4_keyword_person_company,oblivious_forced,1.3997,29,
1,j4_keyword_person_company,pcqv_job,1.2979,29,
1,j5_sparse_acl_rows,view_barrier,3.2956,17,
1,j5_sparse_acl_rows,predicate_injection,1.0729,17,
1,j5_sparse_acl_rows,oblivious_forced,0.1975,17,
1,j5_sparse_acl_rows,pcqv_job,0.1733,17,
1,j6_info_keyword_guard,view_barrier,5.0501,6,
1,j6_info_keyword_guard,predicate_injection,3.3474,6,
1,j6_info_keyword_guard,oblivious_forced,2.9239,6,
1,j6_info_keyword_guard,pcqv_job,3.3843,6,
2,j1_cast_company_keyword,view_barrier,4.8158,13,
2,j1_cast_company_keyword,predicate_injection,0.4074,13,
2,j1_cast_company_keyword,oblivious_forced,0.8523,13,
2,j1_cast_company_keyword,pcqv_job,0.3039,13,
2,j2_actor_region_recent,view_barrier,4.91,3,
2,j2_actor_region_recent,predicate_injection,0.7198,3,
2,j2_actor_region_recent,oblivious_forced,1.5631,3,
2,j2_actor_region_recent,pcqv_job,1.6021,3,
2,j3_title_company_rows,view_barrier,1.1156,50,
2,j3_title_company_rows,predicate_injection,0.4694,50,
2,j3_title_company_rows,oblivious_forced,0.4668,50,
2,j3_title_company_rows,pcqv_job,0.6199,50,
2,j4_keyword_person_company,view_barrier,7.1028,10,
2,j4_keyword_person_company,predicate_injection,0.8284,10,
2,j4_keyword_person_company,oblivious_forced,0.7753,10,
2,j4_keyword_person_company,pcqv_job,0.6551,10,
2,j5_sparse_acl_rows,view_barrier,3.1762,0,
2,j5_sparse_acl_rows,predicate_injection,0.7718,0,
2,j5_sparse_acl_rows,oblivious_forced,0.3296,0,
2,j5_sparse_acl_rows,pcqv_job,1.264,0,
2,j6_info_keyword_guard,view_barrier,3.6331,6,
2,j6_info_keyword_guard,predicate_injection,1.4884,6,
2,j6_info_keyword_guard,oblivious_forced,1.4913,6,
2,j6_info_keyword_guard,pcqv_job,1.4818,6,
3,j1_cast_company_keyword,view_barrier,4.662,13,
3,j1_cast_company_keyword,predicate_injection,0.4232,13,
3,j1_cast_company_keyword,oblivious_forced,0.7887,13,
3,j1_cast_company_keyword,pcqv_job,0.3387,13,
3,j2_actor_region_recent,view_barrier,4.1529,3,
3,j2_actor_region_recent,predicate_injection,0.6919,3,
3,j2_actor_region_recent,oblivious_forced,1.5447,3,
3,j2_actor_region_recent,pcqv_job,1.5525,3,
3,j3_title_company_rows,view_barrier,1.1041,50,
3,j3_title_company_rows,predicate_injection,0.4453,50,
3,j3_title_company_rows,oblivious_forced,0.4267,50,
3,j3_title_company_rows,pcqv_job,0.6025,50,
3,j4_keyword_person_company,view_barrier,6.4088,7,
3,j4_keyword_person_company,predicate_injection,0.7497,7,
3,j4_keyword_person_company,oblivious_forced,0.6719,7,
3,j4_keyword_person_company,pcqv_job,0.5809,7,
3,j5_sparse_acl_rows,view_barrier,3.0088,0,
3,j5_sparse_acl_rows,predicate_injection,0.7388,0,
3,j5_sparse_acl_rows,oblivious_forced,0.2987,0,
3,j5_sparse_acl_rows,pcqv_job,1.2009,0,
3,j6_info_keyword_guard,view_barrier,3.1438,6,
3,j6_info_keyword_guard,predicate_injection,1.3538,6,
3,j6_info_keyword_guard,oblivious_forced,1.1941,6,
3,j6_info_keyword_guard,pcqv_job,1.3505,6,
4,j1_cast_company_keyword,view_barrier,4.5145,2,
4,j1_cast_company_keyword,predicate_injection,0.3069,2,
4,j1_cast_company_keyword,oblivious_forced,0.5294,2,
4,j1_cast_company_keyword,pcqv_job,0.2295,2,
4,j2_actor_region_recent,view_barrier,4.1649,3,
4,j2_actor_region_recent,predicate_injection,0.5461,3,
4,j2_actor_region_recent,oblivious_forced,1.4918,3,
4,j2_actor_region_recent,pcqv_job,1.4742,3,
4,j3_title_company_rows,view_barrier,1.0786,42,
4,j3_title_company_rows,predicate_injection,0.4367,42,
4,j3_title_company_rows,oblivious_forced,0.4209,42,
4,j3_title_company_rows,pcqv_job,0.6497,42,
4,j4_keyword_person_company,view_barrier,6.2085,0,
4,j4_keyword_person_company,predicate_injection,0.6249,0,
4,j4_keyword_person_company,oblivious_forced,0.6122,0,
4,j4_keyword_person_company,pcqv_job,0.4717,0,
4,j5_sparse_acl_rows,view_barrier,3.1188,0,
4,j5_sparse_acl_rows,predicate_injection,0.6756,0,
4,j5_sparse_acl_rows,oblivious_forced,0.3442,0,
4,j5_sparse_acl_rows,pcqv_job,1.2509,0,
4,j6_info_keyword_guard,view_barrier,3.1288,6,
4,j6_info_keyword_guard,predicate_injection,1.146,6,
4,j6_info_keyword_guard,oblivious_forced,1.0112,6,
4,j6_info_keyword_guard,pcqv_job,1.1464,6,
