case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
1,fz001,aggregate,customers+orders,0.5,5,post_join_filter,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,view_barrier,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,predicate_injection,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,pcqv_forced,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,pcqv,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,oracle_order,1,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,unsafe_late_aggregate,0,0,6,3,
1,fz001,aggregate,customers+orders,0.5,5,mut_no_mask,0,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_tenant,0,0,6,3,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_purpose,0,0,6,3,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_clearance,0,0,6,3,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_region,0,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_cross_guard,0,0,4,2,
1,fz001,aggregate,customers+orders,0.5,5,mut_drop_acl,0,1,0,0,
1,fz001,aggregate,customers+orders,0.5,5,mut_no_group_guard,0,1,0,0,
2,fz002,rows,customers,0.025,5,post_join_filter,1,1,0,0,
2,fz002,rows,customers,0.025,5,view_barrier,1,1,0,0,
2,fz002,rows,customers,0.025,5,predicate_injection,1,1,0,0,
2,fz002,rows,customers,0.025,5,pcqv_forced,1,1,0,0,
2,fz002,rows,customers,0.025,5,pcqv,1,1,0,0,
2,fz002,rows,customers,0.025,5,oracle_order,1,1,0,0,
2,fz002,rows,customers,0.025,5,unsafe_late_aggregate,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_no_mask,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_drop_tenant,0,0,154,154,
2,fz002,rows,customers,0.025,5,mut_drop_purpose,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_drop_clearance,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_drop_region,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_drop_cross_guard,0,1,0,0,
2,fz002,rows,customers,0.025,5,mut_drop_acl,0,0,7,7,
2,fz002,rows,customers,0.025,5,mut_no_group_guard,0,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,post_join_filter,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,view_barrier,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,predicate_injection,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,pcqv_forced,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,pcqv,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,oracle_order,1,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,unsafe_late_aggregate,0,0,89,52,
3,fz003,aggregate,products+lineitem,0.5,6,mut_no_mask,0,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_tenant,0,0,73,40,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_purpose,0,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_clearance,0,0,5,5,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_region,0,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_cross_guard,0,0,74,37,
3,fz003,aggregate,products+lineitem,0.5,6,mut_drop_acl,0,1,0,0,
3,fz003,aggregate,products+lineitem,0.5,6,mut_no_group_guard,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,post_join_filter,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,view_barrier,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,predicate_injection,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,pcqv_forced,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,pcqv,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,oracle_order,1,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,unsafe_late_aggregate,0,0,6,4,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_no_mask,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_tenant,0,0,6,4,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_purpose,0,0,4,2,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_clearance,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_region,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_cross_guard,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_drop_acl,0,1,0,0,
4,fz004,aggregate,tickets+customers+orders,0.05,4,mut_no_group_guard,0,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,post_join_filter,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,view_barrier,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,predicate_injection,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,pcqv_forced,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,pcqv,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,oracle_order,1,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,unsafe_late_aggregate,0,0,5,5,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_no_mask,0,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_drop_tenant,0,0,5,5,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_drop_purpose,0,0,3,3,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_drop_clearance,0,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_drop_region,0,1,0,0,
5,fz005,aggregate,orders+customers+lineitem,0.05,6,mut_drop_cross_guard,0,1,0,0,
