seed,case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,post_join_filter,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,view_barrier,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,predicate_injection,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,pcqv_forced,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,pcqv,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,oracle_order,1,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,unsafe_late_aggregate,0,0,8,8,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_no_mask,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_tenant,0,0,1,1,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_purpose,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_clearance,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_region,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_cross_guard,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_acl,0,1,0,0,
101,1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_no_group_guard,0,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,post_join_filter,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,view_barrier,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,predicate_injection,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,pcqv_forced,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,pcqv,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,oracle_order,1,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,unsafe_late_aggregate,0,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_no_mask,0,0,130,65,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_tenant,0,0,206,103,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_purpose,0,0,290,145,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_clearance,0,0,34,17,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_region,0,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_cross_guard,0,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_acl,0,1,0,0,
101,2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_no_group_guard,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,post_join_filter,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,view_barrier,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,predicate_injection,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,pcqv_forced,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,pcqv,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,oracle_order,1,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,unsafe_late_aggregate,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,mut_no_mask,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_tenant,0,0,307,193,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_purpose,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_clearance,0,0,68,68,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_region,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_cross_guard,0,0,12,12,
101,3,fz003,rows,lineitem+products,0.025,4,mut_drop_acl,0,1,0,0,
101,3,fz003,rows,lineitem+products,0.025,4,mut_no_group_guard,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,post_join_filter,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,view_barrier,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,predicate_injection,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,pcqv_forced,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,pcqv,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,oracle_order,1,1,0,0,
101,4,fz004,rows,tickets,0.1,1,unsafe_late_aggregate,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_no_mask,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_drop_tenant,0,0,343,183,
101,4,fz004,rows,tickets,0.1,1,mut_drop_purpose,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_drop_clearance,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_drop_region,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_drop_cross_guard,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_drop_acl,0,1,0,0,
101,4,fz004,rows,tickets,0.1,1,mut_no_group_guard,0,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,post_join_filter,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,view_barrier,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,predicate_injection,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,pcqv_forced,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,pcqv,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,oracle_order,1,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,unsafe_late_aggregate,0,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_no_mask,0,0,46,23,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_tenant,0,0,193,185,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_purpose,0,0,93,93,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_clearance,0,0,2,2,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_region,0,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_cross_guard,0,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_acl,0,1,0,0,
101,5,fz005,rows,tickets+customers+orders,0.1,6,mut_no_group_guard,0,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,post_join_filter,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,view_barrier,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,predicate_injection,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,pcqv_forced,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,pcqv,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,oracle_order,1,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,unsafe_late_aggregate,0,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_no_mask,0,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_tenant,0,0,168,84,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_purpose,0,0,272,136,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_clearance,0,0,22,11,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_region,0,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_cross_guard,0,0,88,44,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_acl,0,1,0,0,
101,6,fz006,rows,products+lineitem+orders,0.5,6,mut_no_group_guard,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,post_join_filter,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,view_barrier,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,predicate_injection,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,pcqv_forced,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,pcqv,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,oracle_order,1,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,unsafe_late_aggregate,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_no_mask,0,0,336,168,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_tenant,0,0,364,198,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_purpose,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_clearance,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_region,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_cross_guard,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_drop_acl,0,1,0,0,
101,7,fz007,rows,customers+orders,0.05,1,mut_no_group_guard,0,1,0,0,
101,8,fz008,aggregate,lineitem+products,0.1,1,post_join_filter,1,1,0,0,
101,8,fz008,aggregate,lineitem+products,0.1,1,view_barrier,1,1,0,0,
101,8,fz008,aggregate,lineitem+products,0.1,1,predicate_injection,1,1,0,0,
101,8,fz008,aggregate,lineitem+products,0.1,1,pcqv_forced,1,1,0,0,
101,8,fz008,aggregate,lineitem+products,0.1,1,pcqv,1,1,0,0,
