selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.025,5,q1_customer_orders,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,46,46,,
0.025,5,q1_customer_orders,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q1_customer_orders,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,57,57,,
0.025,5,q3_support_tickets,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q3_support_tickets,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,0,7,7,,
0.025,5,q3_support_tickets,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.025,5,q4_revenue_by_region,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.025,5,q4_revenue_by_region,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q4_revenue_by_region,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,14,14,,
0.025,5,q7_customer_summary,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q7_customer_summary,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,75,75,,
0.025,5,q10_acl_customer_rows,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q10_acl_customer_rows,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,0,10,10,,
0.025,5,q10_acl_customer_rows,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,17,17,,
0.025,5,q12_product_segment_revenue,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.025,5,q12_product_segment_revenue,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q12_product_segment_revenue,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,8,8,,
0.025,5,q16_region_product_mix,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,0,1,1,,
0.025,5,q16_region_product_mix,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,5,q16_region_product_mix,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_drop_tenant,0,mutation deletes one policy obligation for checker sensitivity,0,46,46,,
0.025,6,q1_customer_orders,mut_drop_purpose,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_drop_clearance,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_drop_region,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_drop_cross_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_drop_acl,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q1_customer_orders,mut_no_group_guard,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
0.025,6,q3_support_tickets,mut_no_mask,0,mutation deletes one policy obligation for checker sensitivity,1,0,0,,
