scale,selectivity,complexity,query,method,latency_ms,rows,safe_by_rule,error
0.06,0.025,1,q1_customer_orders,no_policy,2.9469,250,0,
0.06,0.025,1,q1_customer_orders,post_join_filter,0.2429,69,1,
0.06,0.025,1,q1_customer_orders,view_barrier,0.6575,69,1,
0.06,0.025,1,q1_customer_orders,oblivious_forced,0.278,69,1,
0.06,0.025,1,q1_customer_orders,predicate_injection,0.1827,69,1,
0.06,0.025,1,q1_customer_orders,pcqv_no_stats,0.1836,69,1,
0.06,0.025,1,q1_customer_orders,pcqv_forced,0.1958,69,1,
0.06,0.025,1,q1_customer_orders,pcqv,0.1838,69,1,
0.06,0.025,1,q1_customer_orders,oracle_order,0.2605,69,1,
0.06,0.025,1,q2_revenue_by_product,no_policy,3.6184,16,0,
0.06,0.025,1,q2_revenue_by_product,post_join_filter,0.3033,2,1,
0.06,0.025,1,q2_revenue_by_product,view_barrier,0.6746,2,1,
0.06,0.025,1,q2_revenue_by_product,oblivious_forced,0.3048,2,1,
0.06,0.025,1,q2_revenue_by_product,predicate_injection,0.1419,2,1,
0.06,0.025,1,q2_revenue_by_product,pcqv_no_stats,0.1133,2,1,
0.06,0.025,1,q2_revenue_by_product,pcqv_forced,0.119,2,1,
0.06,0.025,1,q2_revenue_by_product,pcqv,0.1187,2,1,
0.06,0.025,1,q2_revenue_by_product,oracle_order,0.1832,2,1,
0.06,0.025,1,q3_support_tickets,no_policy,1.7871,250,0,
0.06,0.025,1,q3_support_tickets,post_join_filter,0.0818,16,1,
0.06,0.025,1,q3_support_tickets,view_barrier,0.1897,16,1,
0.06,0.025,1,q3_support_tickets,oblivious_forced,0.0771,16,1,
0.06,0.025,1,q3_support_tickets,predicate_injection,0.0642,16,1,
0.06,0.025,1,q3_support_tickets,pcqv_no_stats,0.3082,16,1,
0.06,0.025,1,q3_support_tickets,pcqv_forced,0.0946,16,1,
0.06,0.025,1,q3_support_tickets,pcqv,0.1228,16,1,
0.06,0.025,1,q3_support_tickets,oracle_order,0.0839,16,1,
0.06,0.025,1,q4_revenue_by_region,no_policy,14.7477,8,0,
0.06,0.025,1,q4_revenue_by_region,post_join_filter,0.541,6,1,
0.06,0.025,1,q4_revenue_by_region,view_barrier,1.0306,6,1,
0.06,0.025,1,q4_revenue_by_region,oblivious_forced,0.5404,6,1,
0.06,0.025,1,q4_revenue_by_region,predicate_injection,0.5382,6,1,
0.06,0.025,1,q4_revenue_by_region,pcqv_no_stats,0.403,6,1,
0.06,0.025,1,q4_revenue_by_region,pcqv_forced,0.3661,6,1,
0.06,0.025,1,q4_revenue_by_region,pcqv,0.3772,6,1,
0.06,0.025,1,q4_revenue_by_region,oracle_order,0.3614,6,1,
0.06,0.025,1,q5_high_value_segments,no_policy,4.295,5,0,
0.06,0.025,1,q5_high_value_segments,post_join_filter,1.5144,5,1,
0.06,0.025,1,q5_high_value_segments,view_barrier,0.2725,5,1,
0.06,0.025,1,q5_high_value_segments,oblivious_forced,1.475,5,1,
0.06,0.025,1,q5_high_value_segments,predicate_injection,1.3003,5,1,
0.06,0.025,1,q5_high_value_segments,pcqv_no_stats,0.2256,5,1,
0.06,0.025,1,q5_high_value_segments,pcqv_forced,0.1462,5,1,
0.06,0.025,1,q5_high_value_segments,pcqv,1.5782,5,1,
0.06,0.025,1,q5_high_value_segments,oracle_order,0.2838,5,1,
0.06,0.025,1,q6_lineitem_product_count,no_policy,11.1898,8,0,
0.06,0.025,1,q6_lineitem_product_count,post_join_filter,0.5448,5,1,
0.06,0.025,1,q6_lineitem_product_count,view_barrier,1.1374,5,1,
0.06,0.025,1,q6_lineitem_product_count,oblivious_forced,0.7982,5,1,
0.06,0.025,1,q6_lineitem_product_count,predicate_injection,0.559,5,1,
0.06,0.025,1,q6_lineitem_product_count,pcqv_no_stats,1.0379,5,1,
0.06,0.025,1,q6_lineitem_product_count,pcqv_forced,0.407,5,1,
0.06,0.025,1,q6_lineitem_product_count,pcqv,0.528,5,1,
0.06,0.025,1,q6_lineitem_product_count,oracle_order,0.2823,5,1,
0.06,0.025,1,q7_customer_summary,no_policy,1.2797,198,0,
0.06,0.025,1,q7_customer_summary,post_join_filter,0.2165,6,1,
0.06,0.025,1,q7_customer_summary,view_barrier,0.4854,6,1,
0.06,0.025,1,q7_customer_summary,oblivious_forced,0.1179,6,1,
0.06,0.025,1,q7_customer_summary,predicate_injection,0.1673,6,1,
0.06,0.025,1,q7_customer_summary,pcqv_no_stats,0.1136,6,1,
0.06,0.025,1,q7_customer_summary,pcqv_forced,0.0987,6,1,
0.06,0.025,1,q7_customer_summary,pcqv,0.2368,6,1,
0.06,0.025,1,q7_customer_summary,oracle_order,0.0919,6,1,
0.06,0.025,1,q8_sensitive_product_scan,no_policy,1.4644,43,0,
0.06,0.025,1,q8_sensitive_product_scan,post_join_filter,0.3845,8,1,
0.06,0.025,1,q8_sensitive_product_scan,view_barrier,1.0463,8,1,
0.06,0.025,1,q8_sensitive_product_scan,oblivious_forced,0.5942,8,1,
0.06,0.025,1,q8_sensitive_product_scan,predicate_injection,0.2873,8,1,
0.06,0.025,1,q8_sensitive_product_scan,pcqv_no_stats,0.1952,8,1,
0.06,0.025,1,q8_sensitive_product_scan,pcqv_forced,0.2,8,1,
0.06,0.025,1,q8_sensitive_product_scan,pcqv,0.1704,8,1,
0.06,0.025,1,q8_sensitive_product_scan,oracle_order,0.3059,8,1,
0.06,0.025,1,q9_ticket_topic_segments,no_policy,4.0331,25,0,
0.06,0.025,1,q9_ticket_topic_segments,post_join_filter,0.2461,22,1,
0.06,0.025,1,q9_ticket_topic_segments,view_barrier,0.2113,22,1,
0.06,0.025,1,q9_ticket_topic_segments,oblivious_forced,0.1269,22,1,
0.06,0.025,1,q9_ticket_topic_segments,predicate_injection,0.1671,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv_no_stats,0.1493,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv_forced,0.129,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv,0.1182,22,1,
0.06,0.025,1,q9_ticket_topic_segments,oracle_order,0.1428,22,1,
0.06,0.025,1,q10_acl_customer_rows,no_policy,0.4177,300,0,
0.06,0.025,1,q10_acl_customer_rows,post_join_filter,0.1923,16,1,
0.06,0.025,1,q10_acl_customer_rows,view_barrier,0.1051,16,1,
0.06,0.025,1,q10_acl_customer_rows,oblivious_forced,0.1559,16,1,
0.06,0.025,1,q10_acl_customer_rows,predicate_injection,0.0846,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv_no_stats,0.0742,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv_forced,0.0935,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv,0.0683,16,1,
0.06,0.025,1,q10_acl_customer_rows,oracle_order,0.0654,16,1,
0.06,0.025,1,q11_order_ticket_bridge,no_policy,9.2277,40,0,
0.06,0.025,1,q11_order_ticket_bridge,post_join_filter,0.3609,21,1,
0.06,0.025,1,q11_order_ticket_bridge,view_barrier,0.5318,21,1,
0.06,0.025,1,q11_order_ticket_bridge,oblivious_forced,0.5197,21,1,
0.06,0.025,1,q11_order_ticket_bridge,predicate_injection,0.3542,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv_no_stats,0.2846,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv_forced,0.533,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv,0.6,21,1,
0.06,0.025,1,q11_order_ticket_bridge,oracle_order,0.4259,21,1,
0.06,0.025,1,q12_product_segment_revenue,no_policy,21.5691,27,0,
0.06,0.025,1,q12_product_segment_revenue,post_join_filter,0.5762,15,1,
0.06,0.025,1,q12_product_segment_revenue,view_barrier,0.9526,15,1,
0.06,0.025,1,q12_product_segment_revenue,oblivious_forced,0.452,15,1,
0.06,0.025,1,q12_product_segment_revenue,predicate_injection,0.4334,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv_no_stats,0.4615,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv_forced,0.4578,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv,0.4261,15,1,
0.06,0.025,1,q12_product_segment_revenue,oracle_order,0.7027,15,1,
0.06,0.025,1,q13_order_lineitem_rows,no_policy,0.7942,300,0,
0.06,0.025,1,q13_order_lineitem_rows,post_join_filter,0.4063,145,1,
0.06,0.025,1,q13_order_lineitem_rows,view_barrier,0.965,145,1,
0.06,0.025,1,q13_order_lineitem_rows,oblivious_forced,0.4406,145,1,
