selectivity,complexity,query,method,compile_ms,sql_chars,iterations
0.025,1,q1_customer_orders,post_join_filter,0.052875,781,4
0.025,1,q1_customer_orders,view_barrier,0.016401,429,4
0.025,1,q1_customer_orders,oblivious_forced,0.013211,308,4
0.025,1,q1_customer_orders,predicate_injection,0.011054,296,4
0.025,1,q1_customer_orders,pcqv_no_stats,0.066008,308,4
0.025,1,q1_customer_orders,pcqv_forced,0.086107,308,4
0.025,1,q1_customer_orders,pcqv,0.246648,308,4
0.025,1,q1_customer_orders,oracle_order,1.213824,308,1
0.025,1,q2_revenue_by_product,post_join_filter,0.046072,800,4
0.025,1,q2_revenue_by_product,view_barrier,0.013309,494,4
0.025,1,q2_revenue_by_product,oblivious_forced,0.042858,373,4
0.025,1,q2_revenue_by_product,predicate_injection,0.011175,361,4
0.025,1,q2_revenue_by_product,pcqv_no_stats,0.05404,373,4
0.025,1,q2_revenue_by_product,pcqv_forced,0.086143,373,4
0.025,1,q2_revenue_by_product,pcqv,0.257397,373,4
0.025,1,q2_revenue_by_product,oracle_order,0.774426,373,1
0.025,1,q3_support_tickets,post_join_filter,0.037941,660,4
0.025,1,q3_support_tickets,view_barrier,0.011119,363,4
0.025,1,q3_support_tickets,oblivious_forced,0.010195,279,4
0.025,1,q3_support_tickets,predicate_injection,0.012936,273,4
0.025,1,q3_support_tickets,pcqv_no_stats,0.02727,279,4
0.025,1,q3_support_tickets,pcqv_forced,0.028127,279,4
0.025,1,q3_support_tickets,pcqv,0.072186,273,4
0.025,1,q3_support_tickets,oracle_order,0.332513,279,1
0.025,1,q4_revenue_by_region,post_join_filter,0.049454,776,4
0.025,1,q4_revenue_by_region,view_barrier,0.012715,424,4
0.025,1,q4_revenue_by_region,oblivious_forced,0.016587,303,4
0.025,1,q4_revenue_by_region,predicate_injection,0.009955,291,4
0.025,1,q4_revenue_by_region,pcqv_no_stats,0.046547,303,4
0.025,1,q4_revenue_by_region,pcqv_forced,0.075287,303,4
0.025,1,q4_revenue_by_region,pcqv,0.195766,291,4
0.025,1,q4_revenue_by_region,oracle_order,0.604461,303,1
0.025,1,q5_high_value_segments,post_join_filter,0.035274,595,4
0.025,1,q5_high_value_segments,view_barrier,0.009661,306,4
0.025,1,q5_high_value_segments,oblivious_forced,0.009058,222,4
0.025,1,q5_high_value_segments,predicate_injection,0.013065,216,4
0.025,1,q5_high_value_segments,pcqv_no_stats,0.018666,222,4
0.025,1,q5_high_value_segments,pcqv_forced,0.025164,222,4
0.025,1,q5_high_value_segments,pcqv,0.066743,216,4
0.025,1,q5_high_value_segments,oracle_order,2.70283,222,1
0.025,1,q6_lineitem_product_count,post_join_filter,0.050414,937,4
0.025,1,q6_lineitem_product_count,view_barrier,0.015547,510,4
0.025,1,q6_lineitem_product_count,oblivious_forced,0.01394,352,4
0.025,1,q6_lineitem_product_count,predicate_injection,0.012305,334,4
0.025,1,q6_lineitem_product_count,pcqv_no_stats,0.187108,352,4
0.025,1,q6_lineitem_product_count,pcqv_forced,0.357256,352,4
0.025,1,q6_lineitem_product_count,pcqv,0.65208,334,4
0.025,1,q6_lineitem_product_count,oracle_order,5.398846,352,1
0.025,1,q7_customer_summary,post_join_filter,0.037278,602,4
0.025,1,q7_customer_summary,view_barrier,0.010731,313,4
0.025,1,q7_customer_summary,oblivious_forced,0.00949,229,4
0.025,1,q7_customer_summary,predicate_injection,0.008156,223,4
0.025,1,q7_customer_summary,pcqv_no_stats,0.019631,229,4
0.025,1,q7_customer_summary,pcqv_forced,0.025691,229,4
0.025,1,q7_customer_summary,pcqv,0.087529,229,4
0.025,1,q7_customer_summary,oracle_order,0.274181,229,1
0.025,1,q8_sensitive_product_scan,post_join_filter,0.033507,475,4
0.025,1,q8_sensitive_product_scan,view_barrier,0.009976,316,4
0.025,1,q8_sensitive_product_scan,oblivious_forced,0.008929,232,4
0.025,1,q8_sensitive_product_scan,predicate_injection,0.007779,226,4
0.025,1,q8_sensitive_product_scan,pcqv_no_stats,0.019122,232,4
0.025,1,q8_sensitive_product_scan,pcqv_forced,0.025802,232,4
0.025,1,q8_sensitive_product_scan,pcqv,0.087649,232,4
0.025,1,q8_sensitive_product_scan,oracle_order,0.232666,232,1
