source,query,method,expected,accepted,missing_obligation,obligation_count,obligations
correctness,q1_customer_orders,post_join_filter,accept,true,,6,alias_binding;join_guard_scope;policy_selectivity_visible;reference_equivalence;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,view_barrier,accept,true,,6,alias_binding;join_guard_scope;policy_selectivity_visible;protected_view_normal_form;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,oblivious_forced,accept,true,,6,alias_binding;forced_order_keeps_guards;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,predicate_injection,accept,true,,6,alias_binding;join_guard_scope;policy_selectivity_visible;predicate_injection_preserves_masks;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,pcqv_no_stats,accept,true,,6,alias_binding;certificate_before_costing;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,pcqv_forced,accept,true,,6,alias_binding;dp_order_certificate;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,pcqv,accept,true,,7,alias_binding;delegation_margin_checked;eligible_candidate_selection;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,oracle_order,accept,true,,6,alias_binding;diagnostic_only_not_deployed;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q1_customer_orders,unsafe_late_aggregate,accept,true,,6,alias_binding;join_guard_scope;policy_selectivity_visible;row_guard_attached;tenant_context_preserved;vacuous_aggregate_boundary_or_rejected
correctness,q2_revenue_by_product,post_join_filter,accept,true,,7,aggregate_contributor_set;alias_binding;group_after_visibility;policy_selectivity_visible;reference_equivalence;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,view_barrier,accept,true,,7,aggregate_contributor_set;alias_binding;group_after_visibility;policy_selectivity_visible;protected_view_normal_form;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,oblivious_forced,accept,true,,7,aggregate_contributor_set;alias_binding;forced_order_keeps_guards;group_after_visibility;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,predicate_injection,accept,true,,7,aggregate_contributor_set;alias_binding;group_after_visibility;policy_selectivity_visible;predicate_injection_preserves_masks;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,pcqv_no_stats,accept,true,,7,aggregate_contributor_set;alias_binding;certificate_before_costing;group_after_visibility;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,pcqv_forced,accept,true,,7,aggregate_contributor_set;alias_binding;dp_order_certificate;group_after_visibility;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,pcqv,accept,true,,8,aggregate_contributor_set;alias_binding;delegation_margin_checked;eligible_candidate_selection;group_after_visibility;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,oracle_order,accept,true,,7,aggregate_contributor_set;alias_binding;diagnostic_only_not_deployed;group_after_visibility;policy_selectivity_visible;row_guard_attached;tenant_context_preserved
correctness,q2_revenue_by_product,unsafe_late_aggregate,reject,false,group_after_visibility,0,
correctness,q3_support_tickets,post_join_filter,accept,true,,7,alias_binding;owner_or_acl_exception;policy_selectivity_visible;purpose_guard;reference_equivalence;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,view_barrier,accept,true,,7,alias_binding;owner_or_acl_exception;policy_selectivity_visible;protected_view_normal_form;purpose_guard;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,oblivious_forced,accept,true,,7,alias_binding;forced_order_keeps_guards;owner_or_acl_exception;policy_selectivity_visible;purpose_guard;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,predicate_injection,accept,true,,7,alias_binding;owner_or_acl_exception;policy_selectivity_visible;predicate_injection_preserves_masks;purpose_guard;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,pcqv_no_stats,accept,true,,7,alias_binding;certificate_before_costing;owner_or_acl_exception;policy_selectivity_visible;purpose_guard;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,pcqv_forced,accept,true,,7,alias_binding;dp_order_certificate;owner_or_acl_exception;policy_selectivity_visible;purpose_guard;row_guard_attached;tenant_context_preserved
correctness,q3_support_tickets,pcqv,accept,true,,8,alias_binding;delegation_margin_checked;eligible_candidate_selection;owner_or_acl_exception;policy_selectivity_visible;purpose_guard;row_guard_attached;tenant_context_preserved
