case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
1,fz001,rows,tickets,0.05,1,post_join_filter,1,1,0,0,
1,fz001,rows,tickets,0.05,1,view_barrier,1,1,0,0,
1,fz001,rows,tickets,0.05,1,predicate_injection,1,1,0,0,
1,fz001,rows,tickets,0.05,1,pcqv_forced,1,1,0,0,
1,fz001,rows,tickets,0.05,1,pcqv,1,1,0,0,
1,fz001,rows,tickets,0.05,1,oracle_order,1,1,0,0,
1,fz001,rows,tickets,0.05,1,unsafe_late_aggregate,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_no_mask,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_drop_tenant,0,0,268,191,
1,fz001,rows,tickets,0.05,1,mut_drop_purpose,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_drop_clearance,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_drop_region,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_drop_cross_guard,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_drop_acl,0,1,0,0,
1,fz001,rows,tickets,0.05,1,mut_no_group_guard,0,1,0,0,
2,fz002,rows,products,0.05,2,post_join_filter,1,1,0,0,
2,fz002,rows,products,0.05,2,view_barrier,1,1,0,0,
2,fz002,rows,products,0.05,2,predicate_injection,1,1,0,0,
2,fz002,rows,products,0.05,2,pcqv_forced,1,1,0,0,
2,fz002,rows,products,0.05,2,pcqv,1,1,0,0,
2,fz002,rows,products,0.05,2,oracle_order,1,1,0,0,
2,fz002,rows,products,0.05,2,unsafe_late_aggregate,0,1,0,0,
2,fz002,rows,products,0.05,2,mut_no_mask,0,1,0,0,
2,fz002,rows,products,0.05,2,mut_drop_tenant,0,0,195,192,
2,fz002,rows,products,0.05,2,mut_drop_purpose,0,1,0,0,
2,fz002,rows,products,0.05,2,mut_drop_clearance,0,1,0,0,
2,fz002,rows,products,0.05,2,mut_drop_region,0,1,0,0,
