scale,selectivity,complexity,query,method,latency_ms,rows,error
0.03,0.1,3,q1_customer_orders,predicate_injection,0.0926,15,
0.03,0.1,3,q1_customer_orders,view_barrier,0.9994,15,
0.03,0.1,3,q1_customer_orders,oblivious_forced,0.2675,15,
0.03,0.1,3,q1_customer_orders,pcqv_forced,0.0863,15,
0.03,0.1,3,q1_customer_orders,pcqv,0.0626,15,
0.03,0.1,3,q4_revenue_by_region,predicate_injection,0.1598,3,
0.03,0.1,3,q4_revenue_by_region,view_barrier,1.2009,3,
0.03,0.1,3,q4_revenue_by_region,oblivious_forced,0.383,3,
0.03,0.1,3,q4_revenue_by_region,pcqv_forced,0.1889,3,
0.03,0.1,3,q4_revenue_by_region,pcqv,0.1639,3,
0.03,0.1,3,q6_lineitem_product_count,predicate_injection,0.1036,4,
0.03,0.1,3,q6_lineitem_product_count,view_barrier,1.1952,4,
0.03,0.1,3,q6_lineitem_product_count,oblivious_forced,0.5279,4,
0.03,0.1,3,q6_lineitem_product_count,pcqv_forced,0.0963,4,
0.03,0.1,3,q6_lineitem_product_count,pcqv,0.0855,4,
0.03,0.1,3,q8_sensitive_product_scan,predicate_injection,0.2138,9,
0.03,0.1,3,q8_sensitive_product_scan,view_barrier,1.0589,9,
0.03,0.1,3,q8_sensitive_product_scan,oblivious_forced,0.5437,9,
0.03,0.1,3,q8_sensitive_product_scan,pcqv_forced,0.2233,9,
0.03,0.1,3,q8_sensitive_product_scan,pcqv,0.2079,9,
0.03,0.1,3,q12_product_segment_revenue,predicate_injection,0.0753,5,
0.03,0.1,3,q12_product_segment_revenue,view_barrier,1.3464,5,
0.03,0.1,3,q12_product_segment_revenue,oblivious_forced,0.2217,5,
0.03,0.1,3,q12_product_segment_revenue,pcqv_forced,0.0779,5,
0.03,0.1,3,q12_product_segment_revenue,pcqv,0.0759,5,
0.03,0.1,3,q16_region_product_mix,predicate_injection,0.1087,7,
0.03,0.1,3,q16_region_product_mix,view_barrier,1.1483,7,
0.03,0.1,3,q16_region_product_mix,oblivious_forced,0.1072,7,
0.03,0.1,3,q16_region_product_mix,pcqv_forced,0.094,7,
0.03,0.1,3,q16_region_product_mix,pcqv,0.0913,7,
0.03,0.1,6,q1_customer_orders,predicate_injection,0.1034,15,
0.03,0.1,6,q1_customer_orders,view_barrier,1.2673,15,
0.03,0.1,6,q1_customer_orders,oblivious_forced,0.5272,15,
0.03,0.1,6,q1_customer_orders,pcqv_forced,0.1291,15,
0.03,0.1,6,q1_customer_orders,pcqv,0.1176,15,
0.03,0.1,6,q4_revenue_by_region,predicate_injection,0.1382,2,
0.03,0.1,6,q4_revenue_by_region,view_barrier,1.4342,2,
0.03,0.1,6,q4_revenue_by_region,oblivious_forced,0.6458,2,
0.03,0.1,6,q4_revenue_by_region,pcqv_forced,0.1531,2,
0.03,0.1,6,q4_revenue_by_region,pcqv,0.1199,2,
0.03,0.1,6,q6_lineitem_product_count,predicate_injection,0.1715,1,
0.03,0.1,6,q6_lineitem_product_count,view_barrier,1.4743,1,
0.03,0.1,6,q6_lineitem_product_count,oblivious_forced,0.7747,1,
0.03,0.1,6,q6_lineitem_product_count,pcqv_forced,0.1754,1,
0.03,0.1,6,q6_lineitem_product_count,pcqv,0.1527,1,
0.03,0.1,6,q8_sensitive_product_scan,predicate_injection,0.3973,9,
0.03,0.1,6,q8_sensitive_product_scan,view_barrier,1.2959,9,
0.03,0.1,6,q8_sensitive_product_scan,oblivious_forced,0.796,9,
0.03,0.1,6,q8_sensitive_product_scan,pcqv_forced,0.3821,9,
0.03,0.1,6,q8_sensitive_product_scan,pcqv,0.3511,9,
0.03,0.1,6,q12_product_segment_revenue,predicate_injection,0.1721,0,
0.03,0.1,6,q12_product_segment_revenue,view_barrier,1.5704,0,
0.03,0.1,6,q12_product_segment_revenue,oblivious_forced,0.1727,0,
0.03,0.1,6,q12_product_segment_revenue,pcqv_forced,0.2617,0,
0.03,0.1,6,q12_product_segment_revenue,pcqv,0.183,0,
0.03,0.1,6,q16_region_product_mix,predicate_injection,0.159,1,
0.03,0.1,6,q16_region_product_mix,view_barrier,1.4317,1,
0.03,0.1,6,q16_region_product_mix,oblivious_forced,0.1729,1,
0.03,0.1,6,q16_region_product_mix,pcqv_forced,0.189,1,
0.03,0.1,6,q16_region_product_mix,pcqv,0.1631,1,
0.03,0.5,3,q1_customer_orders,predicate_injection,0.8028,125,
0.03,0.5,3,q1_customer_orders,view_barrier,5.9892,125,
0.03,0.5,3,q1_customer_orders,oblivious_forced,1.0442,125,
0.03,0.5,3,q1_customer_orders,pcqv_forced,0.9442,125,
0.03,0.5,3,q1_customer_orders,pcqv,0.8342,125,
0.03,0.5,3,q4_revenue_by_region,predicate_injection,4.2598,6,
