benchmark,scale,context,query,method,equivalent_to_reference,symmetric_difference_count,error
tpch_ssb_like,0.5,tight,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,raw_post_filter_control,0,7,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,unsafe_late_aggregate,0,7,
tpch_ssb_like,0.5,tight,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,0.5,tight,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,0.5,tight,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,0.5,tight,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,raw_post_filter_control,0,9,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,unsafe_late_aggregate,0,9,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,raw_post_filter_control,0,5,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,unsafe_late_aggregate,0,5,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,raw_post_filter_control,0,16,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,unsafe_late_aggregate,0,16,
tpch_ssb_like,0.5,medium,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,0.5,medium,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,medium,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,0.5,medium,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,0.5,medium,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,0.5,medium,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,0.5,medium,tpch_q5_region_supplier,raw_post_filter_control,0,10,
tpch_ssb_like,0.5,medium,tpch_q5_region_supplier,unsafe_late_aggregate,0,10,
tpch_ssb_like,0.5,medium,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,0.5,medium,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,0.5,medium,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,0.5,medium,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,0.5,medium,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,0.5,medium,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,0.5,medium,tpch_q10_customer_loss,raw_post_filter_control,0,10,
tpch_ssb_like,0.5,medium,tpch_q10_customer_loss,unsafe_late_aggregate,0,10,
tpch_ssb_like,0.5,medium,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,0.5,medium,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,medium,ssb_brand_revenue,raw_post_filter_control,0,6,
tpch_ssb_like,0.5,medium,ssb_brand_revenue,unsafe_late_aggregate,0,6,
tpch_ssb_like,0.5,medium,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,0.5,medium,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,0.5,medium,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,0.5,medium,ssb_supplier_nation,raw_post_filter_control,0,31,
tpch_ssb_like,0.5,medium,ssb_supplier_nation,unsafe_late_aggregate,0,31,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,raw_post_filter_control,0,10,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,unsafe_late_aggregate,0,10,
tpch_ssb_like,0.5,broad,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,0.5,broad,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,0.5,broad,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,0.5,broad,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,raw_post_filter_control,0,10,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,unsafe_late_aggregate,0,10,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,raw_post_filter_control,0,6,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,unsafe_late_aggregate,0,6,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,raw_post_filter_control,0,32,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,unsafe_late_aggregate,0,32,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,raw_post_filter_control,0,9,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,unsafe_late_aggregate,0,9,
tpch_ssb_like,1.0,tight,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,1.0,tight,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,1.0,tight,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,1.0,tight,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,raw_post_filter_control,0,10,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,unsafe_late_aggregate,0,10,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,raw_post_filter_control,0,6,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,unsafe_late_aggregate,0,6,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,raw_post_filter_control,0,17,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,unsafe_late_aggregate,0,17,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,raw_post_filter_control,0,10,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,unsafe_late_aggregate,0,10,
tpch_ssb_like,1.0,medium,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,1.0,medium,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,1.0,medium,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,1.0,medium,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,raw_post_filter_control,0,10,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,unsafe_late_aggregate,0,10,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,raw_post_filter_control,0,6,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,unsafe_late_aggregate,0,6,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,raw_post_filter_control,0,32,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,unsafe_late_aggregate,0,32,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,pcqv,1,0,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,raw_post_filter_control,0,4,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,unsafe_late_aggregate,0,4,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,pcqv,1,0,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,view_barrier,1,0,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,raw_post_filter_control,0,10,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,unsafe_late_aggregate,0,10,
tpch_ssb_like,1.0,broad,tpch_q6_discount,pcqv,1,0,
tpch_ssb_like,1.0,broad,tpch_q6_discount,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,tpch_q6_discount,view_barrier,1,0,
tpch_ssb_like,1.0,broad,tpch_q6_discount,raw_post_filter_control,0,2,
tpch_ssb_like,1.0,broad,tpch_q6_discount,unsafe_late_aggregate,0,2,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,pcqv,1,0,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,view_barrier,1,0,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,raw_post_filter_control,0,10,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,unsafe_late_aggregate,0,10,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,pcqv,1,0,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,view_barrier,1,0,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,raw_post_filter_control,0,6,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,unsafe_late_aggregate,0,6,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,pcqv,1,0,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,predicate_injection,1,0,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,view_barrier,1,0,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,raw_post_filter_control,0,32,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,unsafe_late_aggregate,0,32,
