benchmark,scale,context,query,method,latency_ms,rows,error
tpch_ssb_like,0.5,tight,tpch_q3_revenue,pcqv,0.692394,2,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,predicate_injection,1.523522,2,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,view_barrier,11.76751,2,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,raw_post_filter_control,3.056929,2,
tpch_ssb_like,0.5,tight,tpch_q3_revenue,unsafe_late_aggregate,2.447468,2,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,pcqv,0.666685,2,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,predicate_injection,0.377206,2,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,view_barrier,13.050506,2,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,raw_post_filter_control,5.87575,5,
tpch_ssb_like,0.5,tight,tpch_q5_region_supplier,unsafe_late_aggregate,6.549562,5,
tpch_ssb_like,0.5,tight,tpch_q6_discount,pcqv,0.457442,1,
tpch_ssb_like,0.5,tight,tpch_q6_discount,predicate_injection,0.701308,1,
tpch_ssb_like,0.5,tight,tpch_q6_discount,view_barrier,8.647827,1,
tpch_ssb_like,0.5,tight,tpch_q6_discount,raw_post_filter_control,4.239134,1,
tpch_ssb_like,0.5,tight,tpch_q6_discount,unsafe_late_aggregate,4.167506,1,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,pcqv,0.585053,4,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,predicate_injection,0.404993,4,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,view_barrier,59.581134,4,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,raw_post_filter_control,7.487721,5,
tpch_ssb_like,0.5,tight,tpch_q10_customer_loss,unsafe_late_aggregate,10.130753,5,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,pcqv,2.419056,2,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,predicate_injection,0.432054,2,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,view_barrier,13.235707,2,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,raw_post_filter_control,5.292841,3,
tpch_ssb_like,0.5,tight,ssb_brand_revenue,unsafe_late_aggregate,5.113121,3,
tpch_ssb_like,0.5,tight,ssb_supplier_nation,pcqv,0.44602,0,
